uid,bike_number,start_time,end_time,rental_place,return_place,duration,lat_start,lon_start,lat_end,lon_end,distance
173799072,602771,2023-03-25 00:16:00,2023-03-25 00:23:52,Rynek,Plac Strzegomski / Poznańska,8,51.109782,17.030175,51.113703,17.006287,1.7287892769494078
173798691,602568,2023-03-25 00:08:11,2023-03-25 00:23:56,Popowice,Popowice,16,51.129565,16.989853,51.129565,16.989853,0.0
173799336,602093,2023-03-25 00:21:30,2023-03-25 00:24:29,Drobnera / Plac Bema,Poza stacją,3,51.117557,17.040967,,,
173798802,602717,2023-03-25 00:10:08,2023-03-25 00:24:30,Szczęśliwa (Sky Tower),Powstańcow Śląskich / Aleja Hallera,15,51.094521,17.020876,51.086689,17.01248,1.051283531865828
173798766,603110,2023-03-25 00:09:26,2023-03-25 00:24:53,Szczęśliwa (Sky Tower),Powstańcow Śląskich / Aleja Hallera,16,51.094521,17.020876,51.086689,17.01248,1.051283531865828
173798992,603333,2023-03-25 00:14:23,2023-03-25 00:25:12,Szewska / Kazimierza Wielkiego,Szczęśliwa (Sky Tower),11,51.107471,17.033335,51.094521,17.020876,1.684393355736182
173799362,602099,2023-03-25 00:22:01,2023-03-25 00:25:41,Hubska / Prudnicka,Bardzka / Piękna,4,51.089572,17.045321,51.085034,17.04932,0.5773942638448141
173799104,603276,2023-03-25 00:16:41,2023-03-25 00:26:08,Wita Stwosza / Szewska,Jagiełły / Dmowskiego,10,51.110274,17.034912,51.116596,17.023879,1.0447864677142946
173799078,603295,2023-03-25 00:16:06,2023-03-25 00:26:12,Świeradowska (Ferio Gaj),Kopycińskiego/Drabika,11,51.07692,17.041439,51.058262,17.052487,2.2154522498901077
173799108,602146,2023-03-25 00:16:45,2023-03-25 00:27:15,Wita Stwosza / Szewska,pl. Powstańców Wielkopolskich,11,51.110274,17.034912,51.12469,17.03488,1.6037891420595771
173799256,602954,2023-03-25 00:19:57,2023-03-25 00:27:19,Legnicka / Wejherowska,Drzewieckiego / Dedala,8,51.125276,16.984447,51.125652,16.968627,1.1083192205367034
173798486,602436,2023-03-25 00:04:07,2023-03-25 00:27:54,Dworzec Główny,Plac Grunwaldzki / Polaka,24,51.09975,17.036228,51.110415,17.055591,1.8019236054202412
173799162,603482,2023-03-25 00:17:51,2023-03-25 00:27:54,Plac Jana Pawła II (Akademia Muzyczna),Zaporoska / Grabiszyńska,11,51.111489,17.020981,51.102117,17.013683,1.161181900947727
173799503,603679,2023-03-25 00:24:51,2023-03-25 00:29:36,al. Armii Krajowej / Borowska,al. Armii Krajowej / Bardzka,5,51.08361,17.03523,51.08283,17.04824,0.9157576473189482
173799269,602897,2023-03-25 00:20:11,2023-03-25 00:29:44,Wyszyńskiego / Szczytnicka,Kościuszki / Pułaskiego,10,51.113562,17.050674,51.1004,17.045083,1.5157292239120577
173798844,602763,2023-03-25 00:11:06,2023-03-25 00:31:03,Poza stacją,Piłsudskiego 13 od Jump Hall,20,,,51.1052,17.02123,
173799649,602977,2023-03-25 00:27:59,2023-03-25 00:31:26,Rynek,Rynek,4,51.109782,17.030175,51.109782,17.030175,0.0
173798978,602864,2023-03-25 00:14:08,2023-03-25 00:31:50,Nowowiejska / Jedności Narodowej,Zaporoska / Grabiszyńska,18,51.124879,17.045844,51.102117,17.013683,3.3888755800704007
173799792,603065,2023-03-25 00:31:29,2023-03-25 00:32:19,Grota-Roweckiego / Parafialna,Grota-Roweckiego / Parafialna,1,51.06277,17.0321,51.06277,17.0321,0.0
173799594,602652,2023-03-25 00:26:42,2023-03-25 00:34:15,Poza stacją,Kościuszki / Komuny Paryskiej / Zgodna,8,,,51.098959,17.051519,
173798822,603010,2023-03-25 00:10:35,2023-03-25 00:34:33,Plac Dominikański (Galeria Dominikańska),Mościckiego (stacja kolejowa),24,51.108004,17.039528,51.063834,17.083366,5.794951620822745
173799135,603139,2023-03-25 00:17:20,2023-03-25 00:34:44,Powstańców Śląskich (Arkady Wrocławskie),Kurkowa / Dubois,18,51.099713,17.027905,51.118237,17.028792,2.0617377497985725
173799175,603446,2023-03-25 00:18:08,2023-03-25 00:35:12,Zwycięska / Ołtaszyńska,Krzycka / Aleja Karkonoska (Park Południowy),18,51.059458,17.006542,51.074992,17.007058,1.7285291931547637
173799296,602537,2023-03-25 00:20:46,2023-03-25 00:35:33,Obornicka / Bałtycka,Bezpieczna/Jugosławiańska,15,51.136786,17.030368,51.13894,17.02028,0.7456113300667099
173799478,602120,2023-03-25 00:24:16,2023-03-25 00:35:41,Jagodzińska / Buforowa,Bardzka / Piękna,12,51.058564,17.056696,51.085034,17.04932,2.9898136831823403
173799940,602827,2023-03-25 00:34:39,2023-03-25 00:35:53,Komandorska / Kamienna,Komandorska / Kamienna,2,51.09009,17.0235,51.09009,17.0235,0.0
173799884,602962,2023-03-25 00:33:26,2023-03-25 00:36:09,Poza stacją,Poza stacją,3,,,,,
173799685,602917,2023-03-25 00:28:39,2023-03-25 00:36:43,Rynek,Szewska / Kazimierza Wielkiego,9,51.109782,17.030175,51.107471,17.033335,0.33922952199526357
173799555,603652,2023-03-25 00:26:04,2023-03-25 00:36:48,Bardzka / Piękna,Jagodzińska / Buforowa,11,51.085034,17.04932,51.058564,17.056696,2.9898136831823403
173799725,603639,2023-03-25 00:29:53,2023-03-25 00:36:55,Rynek,Szewska / Kazimierza Wielkiego,8,51.109782,17.030175,51.107471,17.033335,0.33922952199526357
173799389,602234,2023-03-25 00:22:32,2023-03-25 00:37:07,Janiszewskiego (PWr),Partyzantów / Okrzei,15,51.109332,17.060511,51.109457,17.097924,2.6201619889971264
173799735,603095,2023-03-25 00:30:13,2023-03-25 00:37:27,Poza stacją,Plac Grunwaldzki / Polaka,8,,,51.110415,17.055591,
